filename,label,text
samples\employment\employment3.jpg,employment,"Contact  Address New York, USA  Phone +1.2345 6789  Email max johnson@email.com  Skills  Figma ‘Adobe XD Sketch InVision Photoshop  Languages  © English © French  © Russian  Hobbies  © Photography * Football © Cooking  MAX JOHNSON  UX Designer  Profile  Experienced UX Designer specializing in user research, interaction design, and prototyping. Committed to crafting intuitive and visually compelling digital experiences that captivate users. A problem-solver who combines creativity with data-driven insights to drive innovation,  Work Experience  Senior UX Designer [ABC Tech Solutions ~ New York Jan 2020-Dec 2022  © Led UX team for mobile banking app, boosting user engagement by 30% in six months.  © Conducted in-depth user research, reducing e-commerce cart abandonment by 25% through redesign.  UX Designer XYZ Design Agency ~ Texas Jan 2018— Dec 2019  * Collaborated with diverse clients to align designs with business objectives, achieving a 15% boost in healthcare app User satisfaction.  ‘© Conducted impactful user tests on a financial site, pinpointing pain points and driving a 20% surge in conversion rates.  Education Master of Science in HCI New York University ~ New York Jan 2016~Dec 2018  Bachelor of Science in UX Design University of Washington - Washington Jan 2011-Dec 2015,"
samples\employment\employment4.jpg,employment,"LIZ SHELBY  Computer Science Student \ #1-234-423-8975 9 Little Rock, AK  @ help@enhancv.com  SUMMARY  Resourceful Software Intern with 2 years of experience in the IT sector. Skilled in Java, Python and HTML. Adept at computer systems and web services. Looking for an internship that will help me become a skillful professional.  EDUCATION  High School Diploma GPA Excel High School 4.0 / 4.0 # 09/2014 - 06/2019 Boston, MA  Bachelor of Computer Science PA Northeastern University 4/4  Performed software development and testing of 10 project websites Learned how to operate with databases and performed data modeling Worked with a team of 5 colleagues to deliver an innovative e- commerce application  « Took additional courses on the development of Al programs and blockchain technology  « Learned how to install, modify and make minor repairs on personal and  business computers  Built 4 professional websites  Excelled in mathematics, intelligent systems and algorithms and  complexity  « Learned how to perform troubleshooting and fix bugs  & 09/2019 - 07/2022 Boston, MA  TECHNICAL SKILLS  Python Java JavaScript HTML css  Visualforce Windows Web Services  Computer Systems AWS C++ Troubleshooting  VOLUNTEER  Educator and Social Worker EduTech @ 01/2018 - 01/2019 Boston, MA  « Educated 100+ street children in computer systems and how to work with OS  « Social worker in the streets of Boston, MA  * Coordinated 30+ volunteers  www.enhancv.com  @ https://www.github.com/betty-pen/  EXPERIENCE  Software Intern  Salesforce  &% 06/2021- 12/2021 9 Little Rock, AK  Salesforce is an American cloud-based software  company headquartered in San Francisco,  California.  « Contributed to the development of 1 project of web development  « Resolved 20 assigned job requests and incident tickets  « Assisted in handling 11 execution proceedings  « Assisted in product development from conception to end-user stage with a success rate of over 95%  IT Intern  Microsoft  11/2020 - 04/2021 9 Boston, MA  Microsoft is one of the biggest tech companies  in the world.  « Personally provided tier 1 technical support to clients for their computer and software issues  « Participated in performing a web database  testing of measurements for over 2M+ clients  to enhance the management of customer  data  Installed Windows and hardware systems  components for 1000+ college staff and  students  « Operated a help desk that supports 2000+ remote associates  STRENGTHS  & Curiosity Never done reading about technology and innovations in Al, Blockchain and Cloud Computing.  Fo Critical Thinking  Actively and skillfully evaluate and apply new ideas in my daily and professional tasks.  REFERENCES  Sara Fenton, HR at Salesforce +1-566-798-1004  Jo Ben, Sr Java Developer at Microsoft +1-776-012-2975  Powered by (CX? Enhancu"
samples\employment\employment5.jpg,employment,"SEBASTIAN BENNETT  Professional Accountant  & +123-456-7890 hello@reallygreatsite.com 9 123 Anywhere St., Any City  ABOUT ME  Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.  EDUCATION  Borcelle University | 2026-2030  Senior Accountant  Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.  Borcelle University | 2023-2026  Senior Accountant  Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.  WORK EXPERIENCE  Salford & Co. | 2033 - 2035  Senior Accountant  Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.  Salford & Co. | 2030 - 2033  Financial Accountant  Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.  SKILLS + Auditing « Auditing * Financial Reporting * Financial Accounting * Financial Accounting"
samples\employment\employment6.jpg,employment,"[If applicable, generally not required]  CONTACT  4 [Email Address]  © [Phone Number]  Q [Your Address]  ff} [Linkedin Profile]  EDUCATION  [Degree Name] - [Specialization]  [University/College Name], [City] | [Month Year — Month Year]  * CGPA: [Your CGPA] /10  + Key Courses: [Course 1], [Course 2],  [Course 3]  SKILLS  Technical Skills: + MS Excel, SQL, Python, PowerPoint, Canva  Soft Skills: * Communication, Teamwork, Problem-Solving, Time Management  LANGUAGES  * English (Fluent), Hindi (Native), [Other Languages if any]  [Your Full Name] DESIGNATION  CAREER OBJECTIVE  Motivated and detail-oriented [Your Degree/Stream] graduate, eager to begin a professional journey in [Job Role/Industry]. Possess strong analytical skills, quick learning ability, and a keen interest in contributing to business growth while developing professionally.  INTERNSHIP EXPERIENCE (if applicable)  Intern — [Company Name] [Month Year — Month Year]  + Worked on [brief task/project]. « Assisted in [activity], leading to [impact]. + Learned and applied [tools/skills].  ACADEMIC PROJECTS  [Project Title]  [Month Year]  * Objective: [1-line summary of what it aimed to solve or achieve]. * Role: [Your contribution].  * Tools/Tech Used: [e.g., Excel, Python, Canva, Tableau]  CERTIFICATIONS (Optional)  + [Course Name], [Platform] — [Year] + [Course Name], [Platform] — [Year]  EXTRA-CURRICULAR ACTIVITIES (Optional)  + Member of [Club/Team/Association] + Participated in [Competition/Event] — [Result if any] + Volunteered at [NGO/Event Name]  © Shine.com. All rights reserved."
samples\employment\employment7.jpg,employment,"Zt  Wade Calhoun  Digital Content Creator  & CONTACT  Q& 804-576-5323 © wade-calhouneemail.com  @ Fichmond, va  @ EDUCATION  2018 - 2022  Bachelor of Arts in Film and Media Studies  University of Richmond + GPA: 3.70  + Multimedia Excellence Award (2022)  + President. University of Richmond Media Club (2020 - 2022)  & LINKS  Linkedin: wade-calhoun Portfolio: wade-calhoun-work.com  YouTube Channel: Wade Creations  PROFESSIONAL SUMMARY  Detail-oriented Digital Content Creator with a passion for producing engaging video content. Experienced in every stage of video Production, from concept development to editing and distribution. Proficient in utilizing social media platforms to maximize audience engagement and drive traffic. Strong ability to collaborate with teams and clients to deliver high-quality content that meets brand objectives.  EXPERIENCE  Digital Content Creator 2022 - Now VideoFocus Productions, Richmond, VA  + Conceptualize and produce high-quality video content for various digital platforms.  + Scriptwriting, filming, and editing videos to align with client and brand specifications.  + Utilize SEO and analytics tools to optimize video content forincreased Visibility and audience engagement.  + Collaborate closely with clients to understand their vision and deliver content that exceeds expectations.  SKILLS  Video production Scriptwriting  Adobe Premier Pro  SEO  Google Analytics  Social Media Marketing *  Content Strategy  = INTERNSHIPS  Video Production Intern 2021-2021 Visionary Media Group, Richmond, VA  + Assisted in all aspects of video production, including shooting, editing, and post-production tasks.  + Conducted research on industry trends and competitor analysis to inform content strategy.  + Managed equipment setup and maintenance during shoots to ensure smooth operations."
samples\employment\employment9.jpg,employment,Y Bla MATTHEW CONNNORS  (© WORK EXPERIENCE  (@ REFERENCES Jana
samples\government\gov1.jpg,government,"KERAJAAN MALAYSIA JABATAN PENDAFTARAN MALAYSIA RESIT RASMI  Diterima daripada LEU JIA SHYONG (IM, 119-Pin.1/10)  No. Kad Pengenalan/ 8700602-14-5063 No. Resit :220072353C  No. Daftar Perniagaan Talkh.  snameniion  Alamat NO 12 JALAN HUKAN EMAS 8 Silas ern TAMAN 0.U.G OFF JALAN No. ENSKL26043 KLANG LAMA  68200 KUALA LUMPUR  Bil Perihal Terimaan Cara No. Rujukan Kod 1 MY-KAD MALAYSIA FPX JPN202206081632350389 71306 Jumlah  Ringgit Malays  SATU RIBU RINGGIT SAHAJA  No Rujukan Transaks -¥PN202206021632350389 abatan : PEJABAT PENDAFTARAN PUTRAJAYA (HQ) Pry ""12200 - PUSAT TERIMAAN ONLINE  Pusat Terimaan : PEJABAT PENDATEARAN PUTRAJAYA (HQ)  In| adalah cotakan Komputer dan tidak peru atandatangan No. Kebonaran: BPKS(8.15)248-11(43)  til  ‘Amaun (RM) RM 1,000.00  RM 1,000.00  EN3PG28043  Notis 1. BAYARAN SATU KALI SAHAJA,  2. SILA HADIR KE CAWANGAN PUTRAJAYA SELEPAS MENDAPAT NOTIFIKAS! EMEL UNTUK PUNGUTAN MY-KAD. PEMOHON BOLEH HADIR KE PEJABAT PUNGUTAN JIKA TIDAK MENERIMA  NOTIFIKAS! EMEL SELEPAS TEMPOH 3 HARI DARIPADA TARIKH MEMOHON.  3. MY-KAD YANG TIDAK DIPUNGUT SELEPAS SEMBILAN PULUH (90) [AKAN DIBATALKAN DAN TIADA  APA-APA BAYARAN BOLEH DITUNTUT DARI KERAJAAN.  4. PEMOHON MEST! HADIR BERSAMA KAD PENGENALAN ASALISURAT BERANAK ASAL, RESIT  BAYARAN SEMASA PENGAMBILAN MYKAD.  5. BAYARAN TIDAK AKAN DIKEMBALIKAN SEKIRANYA MYKAD ANDA MASIH SAH LAKU ATAU TAMAT TEMPOH,  TELAH HILANG/ROSAK.  6. PEJABAT MYKAD - WAKTU PENGAMBILAN MYKAD HANYA PADA HARI BEKERJA IAITU ISNIN HINGGA JUMAAT. (BAG! NEGER! JOHOR, KEDAH.KELANTAN DAN TERENGGANU, PENGAMBILAN MYKAD PADA  HARI AHAD HINGGA KHAMIS)  UTC - WAKTU PENGAMBILAN MYKAD IAITU SETIAP HAR! TERMASUK HUJUNG MINGGU KECUAL! PADA HARI  ‘CUT! KELEPASAN AM,  7. BAYARAN TIDAK AKAN DIKEMBALIKAN SETELAH TRANSAKS! KEMASKINI DILAKUKAN (MENGIKUT TERMA  DAN SYARAT)  * WAKTU PEJABAT Pejabat = 8.00 pg hingga 4.30 ptg ute + Sila rujuk pada portal rasmi Pendaftaran Negara"
samples\government\gov2.jpg,government,LEMBAGA HASIL DALAM NEGERI MALAYSIA P22 [Pin.1/2021] BORANG PEMBERITAHUAN OLEH MAJIKAN BAGI PEKERJA BAHARU [SUBSEKSYEN 83(2) AKTA CUKAI PENDAPATAN 1967] Borang ini ditetapkan di bawah seksyen 152 Akta Cukai Pendapatan 1967 NOTIFICATION FORM BY EMPLOYER FOR NEW EMPLOYEE MALAYSIA [SUBSECTION 83(2) OF THE INCOME TAX ACT 1967] This form is prescribed under section 152 of the Income Tax Act 1967  Borang pemberitahuan ini hendaklah dikemukakan kepada Lembaga Hasil Dalam Negeri Malaysia (LHDNM) dalam tempoh 30 hari dari {tarikh mula penggajian This notification form must be submitted to the Inland Revenue Board of Malaysia (IRBM) within 30 days from the date of commencement of employment  [A. MAKLUMAT MAJIKAN / PARTICULARS OF EMPLOYER  At. Nama majikan / Employer's name |A2. Alamat majikan / Employer's address  }A3. No. majikan / Employer's no. EB  Ad. e-Mel / e-Mail JAS. No. telefon / Telephone no. B._MAKLUMAT PEKERJA BAHARU / PARTICULARS OF NEW EMPLOYEE B1. Nama penuh / Full name (Seperti dokumen pengenaian dir) {As per identification document) B2. No. cukai pendapatan / 83. No. pengenalan/ Income tax no. Identification no. B4._ No. pasport semasa/ IBS. No. pasport didaftar dengan LHDNM / Current passport no. Passport no. registered with IRBM B6. Warganegara / Citizen B7. Jantina / Gender skh ahi B89. Status perkahwinan / 8. Tarkh lair / Date of bith peng B10. No. telefon / Telephone no. B11. e-Mel / email  B12. Alamat kediaman yang terkini / Current residential address B13. Alamat surat-menyurat yang terkini / Curent correspondence address
samples\government\gov3.jpg,government,e-Filing LHDNM  Mudeh Tepat Selamat  PENGESAHAN PENERIMAAN e-BE BAGI TAHUN TAKSIRAN 2017 ACKNOWLEDGEMENT RECEIPT «-BE FOR YEAR OF ASSESSMENT 2017  Nombor Siri  tama  Ho. Cukai Pendapatan  No. Pengenalan  Mentieation to  Jumiah Pendapatan  Pendapatan Bercukai  Chargaie Income  Jumlah Cukai Yang Dikenakan  Teeal Tas Charged  CUKAI KENA DIBAYAR TAHUN TAKSIRAN 2017 YEAR OF ASSESSMENT 2017 TAX PAYABLE  Ansuran/Potongan Cukai Bulanan (PCB) yang telah dibayar untuk pondapatan tahun 2017 - SENDIRI dan SUAMI/ISTERI bagi taksiran bersama  Iazarnanes / Monchly Tax Deducrons Paid for 2017 Income - SELF and HUSEAND / WIRE fer font  BAKI CUKAI TAHUN TAKSIRAN 2017 YEAR OF ASSESSMENT 2017 BALANCE OF TAX PAYABLE.  Pengakuan Dan Ditandatangani Oleh becisracon And Signed By  No. Pengenalan Merofcaten No  Tarikh Dan Masa Dace and Tne  14-Disember-2017 16:18:44:603  Sekatan perjalanan ke luar negara akan dikuatkuasakan sekiranya baki cukai perlu dibayar tidak  diselesaikan dalam tempoh.  ‘Reverictios on trovelleg abroad wil be erorced entens the amount ol tax ts ally pasd within the period.  Terima ka:  kerana menggunakan e-Filing LHDNM. yea fOr wing KHON Pg  Simpan & Cetak Pengesahan —Cetak e-BE Save & Print Acknowledgement  Printe-BE — Keluar
samples\government\gov4.jpg,government,"Demo Company Sdn Bhd KITARAN AKHIR - JANUARI 2079  NO. PEKERJA JEFFOOT JAWATAN Sale Executive NAMA JEFFREY DEMO NO. KWSP 12345677899  NO. KP Pe NO. SOCSO 123456789 BAHAGIAN OFF NO.LHON 123456789 KADAR BASIC 4,800.00 HK ABS AL EO uaT PH mc TOF  HARI BEKERJA 100 1.00 300 100 1.00 100 17  PENDAPATAN POTONGAN,  GAJIASAS ALLOWANCE 500.00 ATTANDANCE PRORATE 50.00 ATTENDANCE ALLOWANCE (XSH) 235.00 DAILY ATTENDANCE 100.00 ENCASHMENT 369.23 MEDICAL FEE 500.00 PERFORMANCE 500.00 PETROL  KWSP PEKERJA 561.00  THT AL 15.00 HARI [ 8.00} TKT HOSP = 0.00 HARI [ 60.00]"
